id,Name,POINT_X,POINT_Y
11070,ANI ~ emah Kalesi,39.037936999999999,39.604762999999998
11071,ANI ~ Ören Yeri,43.570557000000001,40.506293999999997
10865,ANKUWA,35.261208000000003,39.606113000000001
1829,Annibali,16.610374000000000,38.819771000000003
10869,AN?AN,52.406970999999999,30.013494000000001
2294,Antandros,26.743860000000002,39.567318000000000
3689,Anticaria,-4.562887000000000,37.019374999999997
2341,ANTIOCHIA,36.176189000000001,36.200150000000001
3487,Antiochia - TPPlace2736,62.192779999999999,37.669739000000000
2325,Antiochia pisidia,31.189913000000001,38.306235999999998
10867,ANTISSA,26.018982000000001,39.291339999999998
1847,Antivm,12.629052000000000,41.447947999999997
1733,Aobia,9.230566000000000,36.390991000000000
2324,Apamea ciboton,30.166668000000001,38.066665999999998
2928,Apamia,36.400996999999997,35.419136000000002
